"";"LEtotalpop";"LEwomen";"LEmen";"Gemeente";"Gescheiden_32";"TotaalMetMigratieachtergrond_44";"Bevolkingsdichtheid_57";"GemiddeldeHuishoudensgrootte_89";"Woningdichtheid_93";"Koopwoningen_94";"GemiddeldeWoningwaarde_99";"AfstandTotZiekenhuis_216";"TotaleBevolking_1";"k_80JaarOfOuder_21";"k_80JaarOfOuder_12";"RegioS";"GemiddeldGestandaardiseerdInkomen_41";"InkomenTot120SociaalMinimum_13";"LagerOpgeleidenPercentage_5";"Percentage_eenpersoonshuishoudens";"gemeente";"ErvarenGezondheidGoedZeerGoed_1";"EenOfMeerLangdurigeAandoeningen_2";"NormaalGewicht_9";"VoldoetAanFitnorm_14";"UrenMantelzorgPerWeek_19";"WekelijkseSporters_16";"Totaal.bekende.CO2.uitstoot.2016"
"1";82,5;85;80;"Aa en Hunze";8,2;5,9;91;2,26;40;71,1;218;11,5;25243;5,6;1408;"GM1680";23000;8,2;12;26,3805309734513;"Aa en Hunze";79,5;33,5;43,7;28,6;12,8;46,3;NA
"2";80,9;81,9;79,8;"Aalburg";5,3;5,5;259;2,65;100;71,7;239;11,8;13038;3,8;490;"GM0738";23700;6,2;31;23,2916666666667;"Aalburg";78,7;24,9;47,4;21,2;9,7;38,3;NA
"3";83,2;85,7;80,8;"Aalsmeer";7,7;18,1;1555;2,41;640;63,1;269;9,7;31299;4,5;1398;"GM0358";25000;6,6;23;27,9453125;"Aalsmeer";80,5;31,3;49;26,9;8;54,3;NA
"4";82;84,1;79,9;"Aalten";6,1;11;279;2,35;122;69,4;185;14,5;26912;5,2;1397;"GM0197";23500;7,6;20;27,9130434782609;"Aalten";75,6;35;45,8;31,7;8,4;47,9;134297
"5";81;83,1;78,9;"Achtkarspelen";7,5;4;274;2,39;117;63,3;159;15,7;28007;4;1125;"GM0059";20900;13;30;28,7094017094017;"Achtkarspelen";81,3;35,9;40,8;26,1;NA;41,7;159597
"6";82,8;84,6;81,1;"Alblasserdam";7,2;13,6;2270;2,46;935;60,1;194;8,5;19955;4,9;985;"GM0482";22500;8,7;18;28,7283950617284;"Alblasserdam";75,3;33,4;47,9;19,9;NA;42,3;201343
"7";82,7;84,4;80,9;"Albrandswaard";8,8;19,3;1150;2,43;470;67,3;248;6,3;24985;3,8;944;"GM0613";24800;6,7;14;24,2571428571429;"Albrandswaard";77,9;32,1;47,8;22,3;NA;50,1;117913
"8";81,7;83,6;79,7;"Alkmaar";11;21,6;974;2,1;456;57,7;183;4;107615;4,1;4457;"GM0361";21500;11,9;16;38,8260869565217;"Alkmaar";72,6;36,2;52,7;28,2;8,7;53,3;579053
"9";79,7;81,6;77,7;"Almelo";9,8;24,9;1076;2,24;482;54,6;151;3,7;72425;4,4;3192;"GM0141";20100;17,6;21;33,3819875776397;"Almelo";72,3;38,2;42,9;32;10,2;47,1;571012
"10";81,8;83,3;80,3;"Almere";11,2;40;1533;2,38;617;63,8;181;4,4;198145;2;4009;"GM0034";21000;16;17;31,0220858895706;"Almere";73,2;34,1;44;18,7;16,4;49,7;831527
"11";82,2;83,5;80,8;"Alphen aan den Rijn";8,6;18,5;854;2,31;363;63;214;4,3;107960;3,9;4175;"GM0484";23800;9;17;30,8211206896552;"Alphen aan den Rijn";76,7;36,6;46,9;28,7;9,1;51,1;491286
"12";84;85,1;82,7;"Alphen-Chaam";6,5;13,4;107;2,43;45;75,3;290;11,9;9924;4,7;462;"GM1723";27500;7,7;21;22,95;"Alphen-Chaam";79,1;29,4;50,3;31,6;12,2;54,7;69192
"13";83,3;88;78,9;"Ameland";6,3;6,5;62;2,19;29;65,7;222;46,5;3611;4,2;153;"GM0060";NA;9;15;35,875;"Ameland";79,3;31,2;43,3;34,1;NA;39;32505
"14";81,6;83,2;79,7;"Amersfoort";9,6;23,6;2447;2,27;1040;57,8;223;3,7;153602;3,5;5426;"GM0307";21800;10,6;13;35,3488023952096;"Amersfoort";77,1;31,7;53,8;27,5;8,7;57,1;789897
