TableInfos;;;;;;;;;;;;;;;;;;;;
ID;Title;ShortTitle;Identifier;Summary;Modified;ReasonDelivery;ExplanatoryText;Language;Catalog;Frequency;Period;ShortDescription;Description;DefaultPresentation;DefaultSelection;GraphTypes;OutputStatus;Source;MetaDataModified;SearchPriority
0;"Maatstaven gemeentefonds; Sociaal domein; diverse peildata; regio 2016";"Maatstaven Gemeentefonds; regio 2016";83440NED;"Jeugdwet, Participatiewet, Wmo
Gemeenten";2016-05-31T09:30:00;Verbetering;;nl;CBS;Perjaar;2016;"
Gemeenten ontvangen geld van de Rijksoverheid uit het gemeentefonds. Hiermee betalen zij een deel van hun uitgaven. Sinds 2015 zijn gemeenten verantwoordelijk voor de uitvoering van de Jeugdwet, Participatiewet en WMO (Sociaal domein). Voor de verdeling van het landelijke budget voor de uitvoering van deze drie wetten over de gemeenten zijn verdeelmodellen ontwikkeld. In opdracht van het ministerie van Binnenlandse Zaken en Koninkrijksrelaties (BZK) stelt CBS cijfers samen waarmee deze verdeelmodellen doorgerekend kunnen worden. Deze tabel bevat gegevens die als grondslag dienen bij het bepalen van de verdeling van het landelijk budget over de gemeenten ten behoeve van de Jeugdwet, Participatiewet en Wmo.	 				

Gegevens beschikbaar voor 2016

Status van de cijfers: 
De cijfers in deze tabel zijn definitief, maar samengesteld op basis van gegevens uit verschillende bronnen, en berekend op verschillende basisjaren. Dit wil zeggen dat de cijfers niet zondermeer vergelijkbaar zijn met reeds gepubliceerde cijfers op StatLine. In de toelichting bij de onderwerpen wordt dit nader verklaard. 

Wijzigingen per 31 mei 2018:
De naam en toelichting van de indicator ‘Personen met een Wajong-uitkering’ is aangepast. Het gaat om ‘Wajong-uitkeringen’ en niet om ‘Personen met een Wajong-uitkering’. Dat staat nu goed in de tabel.

Wanneer komen er nieuwe cijfers? 
De nieuwe cijfers komen naar verwachting eind mei 2017 beschikbaar. Deze zullen in een nieuwe, aparte StatLine tabel komen.

";"INHOUDSOPGAVE

1. Toelichting
2. Definities en verklaring van symbolen
3. Koppelingen naar relevante tabellen en artikelen
4. Bronnen en methoden
5. Meer informatie 


1. TOELICHTING

Gemeenten ontvangen geld van de Rijksoverheid uit het gemeentefonds. Hiermee betalen zij een deel van hun uitgaven. Sinds 2015 zijn gemeenten verantwoordelijk voor de uitvoering van de Jeugdwet, Participatiewet en WMO (Sociaal domein). Voor de verdeling van het landelijke budget voor de uitvoering van deze drie wetten over de gemeenten zijn verdeelmodellen ontwikkeld. In opdracht van het ministerie van Binnenlandse Zaken en Koninkrijksrelaties (BZK) stelt CBS cijfers samen waarmee deze verdeelmodellen doorgerekend kunnen worden. Deze tabel bevat gegevens die als grondslag dienen bij het bepalen van de verdeling van het landelijk budget over de gemeenten ten behoeve van de Jeugdwet, Participatiewet en Wmo.	 				

Gegevens beschikbaar voor 2016

Status van de cijfers: 
De cijfers in deze tabel zijn definitief, maar samengesteld op basis van gegevens uit verschillende bronnen, en berekend op verschillende basisjaren. Dit wil zeggen dat de cijfers niet zondermeer vergelijkbaar zijn met reeds gepubliceerde cijfers op StatLine. In de toelichting bij de onderwerpen wordt dit nader verklaard. 

Wijzigingen per 31 mei 2018:
De naam en toelichting van de indicator ‘Personen met een Wajong-uitkering’ is aangepast. Het gaat om ‘Wajong-uitkeringen’ en niet om ‘Personen met een Wajong-uitkering’. Dat staat nu goed in de tabel.

Wanneer komen er nieuwe cijfers? 
De nieuwe cijfers komen naar verwachting eind mei 2017 beschikbaar. Deze zullen in een nieuwe, aparte StatLine tabel komen.


2. DEFINITIES EN VERKLARING VAN SYMBOLEN

Definities:

Participatiewet											
De wet regelt in Nederland de ondersteuning bij arbeidsinschakeling en het verlenen van bijstand door gemeenten voor mensen die weinig of geen ander inkomen (waaronder andere uitkeringen) hebben en ook weinig of geen vermogen.							
Werk gaat voor inkomen: oogmerk is om mensen met of zonder arbeidsbeperking op de kortste weg naar betaald werk te kunnen zetten.	
De gemeenten voeren de wet uit en bepalen, binnen de wettelijke grenzen, hun eigen beleid.	
De participatiewet vervangt sinds 1 januari 2015 de Wet werk en bijstand (WWB), de Wet Sociale Werkvoorziening (WsW) en een groot deel van de Wet werk en arbeidsondersteuning jonggehandicapten (wet Wajong).					

Jeugdwet 2015
Wettelijke verplichting voor gemeenten om zorg aan jongeren te bieden.			
De Jeugdwet wordt op 1 januari 2015 ingevoerd als samenvoeging van de Wet op de jeugdzorg (Wjz), de langdurige jeugd-gehandicaptenzorg en -geestelijke gezondheidszorg uit de Algemene Wet Bijzondere Ziektekosten (AWBZ) en de jeugd-geestelijke gezondheidszorg uit de Zorgverzekeringswet (Zvw). De Jeugdwet regelt de ondersteuning, hulp en zorg voor jeugdigen met opvoed- en opgroeiproblemen, met psychische en psychiatrische problemen of met een lichamelijke, zintuiglijke of verstandelijke beperking. Daarnaast regelt de wet de uitvoering van kinderbeschermingsmaatregelen en de jeugdreclassering.
					
In de Jeugdwet is de leeftijdsgrens gesteld op 18 jaar voor jeugdhulp en de uitvoering van kinderbeschermingsmaatregelen. Jeugdhulp kan doorlopen tot maximaal het 23ste levensjaar, voor zover deze hulp niet onder een ander wettelijk kader valt. Voor jeugdhulp die verstrekt wordt in verband met een psychische stoornis of een verstandelijke beperking die voorheen viel onder zorg als bedoeld bij of krachtens de AWBZ of Zvw geldt echter de leeftijdsgrens van 18 jaar. Voor jeugdreclassering en jeugdhulp die voortvloeit uit een strafrechtelijke beslissing geldt op basis van het wetsvoorstel Jeugdwet geen leeftijdsgrens.

Wmo2015											
Wet maatschappelijke ondersteuning zoals ingegaan op 1 januari 2015. Deze wet stelt gemeenten verantwoordelijk voor het ondersteunen van de zelfredzaamheid en participatie van mensen met een beperking, chronische psychische of psychosociale problemen.																

Verklaring van symbolen:

niets (blanco)	: het cijfer kan op logische gronden niet voorkomen
. 		: het cijfer is onbekend, onvoldoende betrouwbaar of geheim
*		: voorlopige cijfers
**		: nader voorlopige cijfers


3. KOPPELINGEN NAAR RELEVANTE TABELLEN EN ARTIKELEN

De cijfers ten behoeve van de Maatstaven gemeentefonds en provinciefonds: algemene uitkeringen zijn terug te vinden in de volgende Statline tabel: <a href='https://opendata.cbs.nl/statline/#/CBS/nl/dataset/60039fvw/table?dl=B6DE'>Maatstaven Financiële-verhoudingswet (Fvw)</a>.

Op de site van het Ministerie van BZK is de <a href='https://www.rijksoverheid.nl/documenten/rapporten/2013/05/24/toelichting-op-de-berekening-van-de-uitkeringen-uit-het-gemeentefonds'>Toelichting op de berekening van de uitkeringen uit het gemeentefonds</a> te raadplegen. 
														

4. BRONNEN EN METHODEN

De belangrijkste bronnen voor het samenstellen van de cijfers in deze tabel zijn:
<a href='https://www.cbs.nl/nl-nl/onze-diensten/methoden/onderzoeksomschrijvingen/korte-onderzoeksbeschrijvingen/arbeidsongeschiktheidsuitkeringen'>Arbeidsongeschiktheidsuitkeringen</a>
<a href='https://www.cbs.nl/nl-nl/onze-diensten/methoden/onderzoeksomschrijvingen/korte-onderzoeksbeschrijvingen/bevolkingsstatistiek'>Bevolkingsstatistiek</a>
<a href='https://www.cbs.nl/nl-nl/onze-diensten/methoden/onderzoeksomschrijvingen/korte-onderzoeksbeschrijvingen/bijstandsuitkeringenstatistiek--bus--'>Bijstandsuitkeringenstatistiek (BUS)</a>
<a href='https://www.cbs.nl/nl-nl/onze-diensten/methoden/onderzoeksomschrijvingen/korte-onderzoeksbeschrijvingen/enquete-beroepsbevolking--ebb--'>Enquête beroepsbevolking (EBB)</a>
<a href='https://www.cbs.nl/nl-nl/onze-diensten/methoden/onderzoeksomschrijvingen/korte-onderzoeksbeschrijvingen/regionaal-inkomensonderzoek--rio--'>Regionaal Inkomensonderzoek (RIO)</a>
<a href='https://www.basisregistratiesienm.nl/basisregistraties/adressen-en-gebouwen'>Basisregistratie Adressen en gebouwen (BAG)</a>


5. MEER INFORMATIE

<a href='https://www.cbs.nl/nl-nl/over-ons/contact/infoservice'>Infoservice</a>

Copyright (c) Centraal Bureau voor de Statistiek, Den Haag/Heerlen 
Verveelvoudiging is toegestaan, mits CBS als bron wordt vermeld.
";graphType=table;$filter=((RegioS eq 'NL01  ') or (RegioS eq 'GM0363') or (RegioS eq 'GM0518') or (RegioS eq 'GM0599') or (RegioS eq 'GM0344'))&$select=RegioS, InwonersVan15Tot65Jaar_1, InwonersDoelpopulatie_2, Totaal_3, LagerOpgeleiden_4, LagerOpgeleidenPercentage_5, InstroomWerkregelingWajong_6, InstroomWachtlijstWSW_7, InstroomWerkregelingWajongExclWSW_8, PersonenMetBijstandTotAOWLeeftijd_9, InwonersTot18Jaar_10, AantalMinderjarigeKinderen_11, InkomenTot120SociaalMinimum_12, InkomenTot120SociaalMinimum_13, InkomenOnderLageInkomensgrens_14, InkomenOnderLageInkomensgrens_15, HuishoudensMetEnZonderKinderen_16, Totaal_17, MetJongsteKindTot6Jaar_18, MetJongsteKind6Tot12Jaar_19, MetJongsteKind12Tot18Jaar_20, Totaal_21, Met2OfMeerKinderen_22, Driejaarsgemiddelde_23, k_2014_24, k_2013_25, k_2012_26, Driejaarsgemiddelde_27, k_2014_28, k_2013_29, k_2012_30, OudersMetLangPsychischMedicijngebr_31, Huishoudens_32, GemiddeldGestandaardiseerdInkomen_33, Huishoudens_34, GemiddeldGestandaardiseerdInkomen_35, Huishoudens_36, GemiddeldGestandaardiseerdInkomen_37, Huishoudens_38, GemiddeldGestandaardiseerdInkomen_39, Huishoudens_40, GemiddeldGestandaardiseerdInkomen_41, Totaal_42, InwonersVan65JaarOfOuder_43, Eenpersoonshuishoudens_44, HuishoudensMetInkomen_45, LageInkomens2e3eOf4eDeciel_46, LageInkomens2e3eOf4eDeciel_47, PersonenMetEenWajongUitkering_48, Totaal_49, WWB_50, IOAW_51, IOAZ_52, Adreslozen_53, BBZ_54, WoonkernenTotaal_55, WoonkernenMinimaal500Adressen_56, Omgevingsadressendichtheid_57, LokaalKlantenpotentieel_58&k=RegioS&r=Topics;Table,Bar,Map;Regulier;CBS;2018-05-31T02:00:00;2
DataProperties;;;;;;;;;;;;;;;;;;;;
ID;Position;ParentID;Type;Key;Title;Description;ReleasePolicy;Datatype;Unit;Decimals;Default;;;;;;;;;
0;0;;GeoDimension;RegioS;Regio's;;;;;;;;;;;;;;;
1;;;TopicGroup;;Participatiewet;"De Participatiewet vervangt per 1 januari 2015 de Wet Werk en Bijstand (WWB), de Wet sociale werkvoorziening (WSW) en een deel van de Wet Wajong. De Participatiewet komt vrijwel overeen met de WWB, maar nog sterker wordt de nadruk gelegd op participatie aan het arbeidsproces.
Personen die door lichamelijke, verstandelijke of psychische aandoeningen alleen onder aangepaste omstandigheden kunnen werken vallen vanaf 1 januari 2015 onder de Participatiewet en niet meer onder de WSW.
Ook jonggehandicapten die nog kunnen werken vallen vanaf die datum onder de Participatiewet en niet meer onder de Wet Wajong.
Onder dit onderwerp zijn in deze tabel de gegevens terug te vinden die als grondslag dienen bij het bepalen van de verdeling van het landelijk budget over de gemeenten ten behoeve van de Participatiewet.
";;;;;;;;;;;;;;
2;1;1;Topic;InwonersVan15Tot65Jaar_1;Inwoners van 15 tot 65 jaar;"Het aantal inwoners van 15 tot 65 jaar op 31 december 2014 voor de gemeentelijke indeling van 1-1-2016.

De cijfers over het aantal inwoners in deze tabel kunnen afwijken van soortgelijke cijfers op Statline over het aantal inwoners. Dit komt doordat in deze tabel de gemeentelijke indeling van 2016 is toegepast maar de definitieve cijfers ten behoeve van de Participatiewet over 31 december 2014 gaan.
";;Long;aantal;0;Impossible;;;;;;;;;
3;2;1;Topic;InwonersDoelpopulatie_2;Inwoners doelpopulatie;"Het aantal personen dat behoort tot de doelgroep van de Participatiewet voordat deze daadwerkelijk in werking treedt in 2014.

De doelgroep van de Participatiewet, weergegeven in deze tabel, bestaat uit:
- Werkenden met steun van de gemeente (WSW, Wet inschakeling werkzoekenden (Wiw) en het Besluit in- en doorstroombanen (ID), Loonkostensubsidie);
- Niet-werkenden met een uitkering van de gemeente (Wet Werk en Bijstand (WWB));
- Niet-werkenden zonder uitkering (niet-uitkeringsgerechtigden en inactieven);
- Personen met een Wajong-uitkering.

Omdat het CBS geen registratie van niet-uitkeringsgerechtigden of inactieven heeft, is de totale bevolking in de leeftijd van 15 jaar tot aan de AOW-leeftijd 'afgepeld' om tot de omvang van deze subgroep te komen. Op basis van de BRP is de omvang van de bevolking in de leeftijd van 15 jaar tot aan de AOW-leeftijd op 31 december 2014 bepaald voor de gemeentelijke indeling van 1 januari 2016. De volgende groepen zijn vervolgens van deze bevolking afgepeld om tot de uiteindelijke doelgroep van de Participatiewet te komen:
- Personen met een baan in loondienst in Nederland ultimo 2014, ongeacht de omvang van de baan, met uitzondering van de werkenden met steun van de gemeente (WSW, Wet inschakeling werkzoekenden (Wiw) en het Besluit in- en doorstroombanen (ID), Loonkostensubsidie); 
- Personen met inkomsten uit een baan in het buitenland in 2014;
- Personen met inkomsten uit overige arbeid in 2014;
- Personen met inkomsten als zelfstandige in 2014;
- Personen met een arbeidsongeschiktheidsuitkering in het kader van de Wet op de arbeidsongeschiktheidsverzekering (WAO)/Wet werk en inkomen naar arbeidsvermogen (WIA) of de Wet arbeidsongeschiktheidsverzekering zelfstandigen (WAZ) ultimo 2014;
- Personen met een uitkering in het kader van de werkloosheidswet (WW) ultimo 2014;
- Personen van 15 tot 30 jaar die ultimo 2014 regulier onderwijs volgen.
";;Long;aantal;0;Impossible;;;;;;;;;
4;;1;TopicGroup;;Beroepsbevolking;"Personen:
- die betaald werk hebben (werkzame beroepsbevolking), of
- die geen betaald werk hebben, recent naar betaald werk hebben gezocht en daarvoor direct beschikbaar zijn (werkloze beroepsbevolking).
Deze definitie heeft betrekking op personen die in Nederland wonen (exclusief de institutionele bevolking). De gegevens worden meestal gepresenteerd voor de bevolking van 15 tot 75 jaar. Bij betaald werk gaat het om werkzaamheden ongeacht de arbeidsduur.
";;;;;;;;;;;;;;
5;3;4;Topic;Totaal_3;Totaal;"Vijfjaarsgemiddelde van het totaal aantal personen in de beroepsbevolking voor de jaren 2011 tot en met 2015 voor de gemeentelijke indeling van 1-1-2016.

Beroepsbevolking
Personen:
- die betaald werk hebben (werkzame beroepsbevolking), of
- die geen betaald werk hebben, recent naar betaald werk hebben gezocht en daarvoor direct beschikbaar zijn (werkloze beroepsbevolking).
Deze definitie heeft betrekking op personen die in Nederland wonen (exclusief de institutionele bevolking). De gegevens worden meestal gepresenteerd voor de bevolking van 15 tot 75 jaar. Bij betaald werk gaat het om werkzaamheden ongeacht de arbeidsduur.
";;Long;x 1 000;0;Missing;;;;;;;;;
6;4;4;Topic;LagerOpgeleiden_4;Lager opgeleiden;"Vijfjaarsgemiddelde van het aantal lager opgeleiden in de beroepsbevolking voor de jaren 2011 tot en met 2015 voor de gemeentelijke indeling van 1-1-2016.

De lager opgeleiden in deze tabel wijken af van de standaard CBS-indeling van de laag opgeleiden. In deze tabel worden personen met de volgende hoogstbehaalde opleidingen tot de laag opgeleiden gerekend:
- 111 Basisonderwijs:
01001 geen onderwijs gevolgd
01002 onderwijs aan kleuters
01003 basisonderwijs groep 3-8
01004 (basis)educatie
- 121 VMBO-basisberoep/kaderberoeps, mbo1:
01006 praktijkonderwijs
01016 overige beroepsopleiding of cursus met lager niveau
01007 assistentenopleiding (web) bol
01008 assistentenopleiding (web) bbl (incl. geen aanduiding leerweg)
01005 gemeenschappelijke leerjaren avo
01013 vmbo basis- en kaderberoepsgerichte leerweg
01015 lbo, vbo.
Ten opzichte van de standaard CBS-indeling van laag opgeleiden worden de personen met de volgende hoogstbehaalde opleidingen niet tot de lager opgeleiden gerekend:
- 122 VMBO-gemengd/theoretisch, avo onderbouw:
01009 havo, vwo leerjaar 1-3
01010 mms, hbs, gymnasium leerjaar 1-3
01011 voortgezet speciaal onderwijs
01012 mavo
01014 vmbo theoretische- of gemengde leerweg.
";;Long;x 1 000;0;Impossible;;;;;;;;;
